title,artist,duration_ms,duration_min,url
Lil Drench x TG - Baggage (unreleased),ab_2sickk,159739,2.66,https://soundcloud.com/g-a-1-a-x-y-847577516/lil-drench-x-tg-baggage?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Jneat x Bunnabcf (unreleased),ab_2sickk,100963,1.68,https://soundcloud.com/g-a-1-a-x-y-847577516/jneat-x-bunnabcf-unreleased?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
100OTD X Deezy - Parro,ab_2sickk,157649,2.63,https://soundcloud.com/g-a-1-a-x-y-847577516/100otd-x-deezy-parro?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Itzlildrench - Drench life (snippet),ab_2sickk,35762,0.6,https://soundcloud.com/g-a-1-a-x-y-847577516/itzlildrench-drench-life?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bunna bcf - hot one (snippet),ab_2sickk,25051,0.42,https://soundcloud.com/g-a-1-a-x-y-847577516/bunna-bcf-snippet?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Savv4x - Rainstorm (1).mp3,ab_2sickk,148062,2.47,https://soundcloud.com/g-a-1-a-x-y-847577516/savv4x-rainstorm-1-mp3?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
EBK X LILDRENCH - Drenchmono (LEAKED),ab_2sickk,195109,3.25,https://soundcloud.com/g-a-1-a-x-y-847577516/ebk-x-lildrench-drenchmono?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
bunnabcf - problems,ab_2sickk,134583,2.24,https://soundcloud.com/g-a-1-a-x-y-847577516/bunnabcf-problems?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Ehsaas,Khaaki,213335,3.56,https://soundcloud.com/khaakimusic/ehsaas?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Jigre Buland   Bunny Johal   Black Virus   Latest Punjabi Songs,Music By Rami,183719,3.06,https://soundcloud.com/musicbyrami2/jigre-buland-bunny-johal-black-virus-latest-punjabi-songs?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Sahiba  Official Music    Aditya Rikhari, Ankita Chhetri   T - Series Music By Rami,183092,3.05,https://soundcloud.com/musicbyrami2/sahiba-official-music-aditya-rikhari-ankita-chhetri-t-series?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Charayi    Lopon Sidhu    Latest Punjabi Songs 2023,Music By Rami,197068,3.28,https://soundcloud.com/musicbyrami2/charayi-lopon-sidhu-latest-punjabi-songs-2023?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
